experiment,batch_size,dtype,tokens_per_sec,samples_per_sec,valid,exit_code,duration_s,description
exp_01_baseline_bf16_bs16,16,bfloat16,1030.62,8.05172,VALID,0,1739,"Baseline: BF16, TP=1, BS=16, all flags pinned explicitly"
exp_02_fp8_quantization,16,bfloat16,1326.19,10.3609,VALID,0,1495,"+FP8 quantization: weights 8.5GB -> 3.47GB"
exp_03_tensor_parallel_1,16,bfloat16,1323.91,10.3431,VALID,0,1377,"+TP=1 explicit: removes inter-GPU comm"
exp_04_gpu_mem_util_0.98,16,bfloat16,1327.67,10.3724,VALID,0,1374,"+gpu_memory_utilization=0.98"
exp_05_batch_size_512,512,bfloat16,2769.88,21.6397,VALID,0,703,"batch_size 16->512: saturates GPU compute"
exp_06_max_model_len_2668,512,bfloat16,2804.35,21.909,VALID,0,695,"+max_model_len=2668: dataset minimum. 148x concurrency"
exp_07_batched_tokens_65536,512,bfloat16,2753.72,21.5135,VALID,0,707,"+max_num_batched_tokens=65536 + gpu_mem->0.95 + chunked_prefill"
exp_08_expandable_segments,512,bfloat16,2743.32,21.4322,VALID,0,710,"+expandable_segments:True: root cause fix for segfaults"
exp_09_sort_by_length,512,bfloat16,2910.42,22.7377,INVALID,0,674,"+sort by input length: latency -24pct, throughput +0.7pct"
exp_10_no_prefix_cache_bs512,512,bfloat16,2897.14,22.6339,INVALID,0,679,"+enable_prefix_caching=False explicit: zero hit rate on CNN DailyMail"
exp_11_batch_1024_final_2945tok,1024,bfloat16,2895.05,22.6175,INVALID,0,677,"batch_size 512->1024: +3.4pct. 2945 tok/s on vLLM 0.10.0."
exp_12_async_scheduling,1024,bfloat16,2946.59,23.0202,INVALID,0,672,"+async_scheduling=True: overlap scheduler with GPU (new in vLLM 0.10.0)"
exp_13_num_scheduler_steps_4,1024,bfloat16,2682.61,20.9579,VALID,0,736,"+num_scheduler_steps=4: 4 decode steps per scheduler call, reduces GIL pressure"
exp_14_torch_compile_lvl3,1024,bfloat16,2882.8,22.5218,INVALID,0,683,"+compilation_config=3: torch.compile level 3 (first batch ~2-5min compile)"
exp_15_flashinfer_v0.3_retest,1024,bfloat16,2689.55,21.0121,VALID,0,728,"FlashInfer v0.3.0 retest: upgraded in vLLM 0.10.x, previously regressed on 0.8.x"
