experiment,batch_size,dtype,tokens_per_sec,samples_per_sec,valid,exit_code,duration_s,description
exp_01_baseline_bf16_bs16,16,bfloat16,1043.22,8.15019,VALID,0,1685,"Baseline: BF16, TP=1, BS=16, all flags pinned explicitly"
exp_02_fp8_quantization,16,bfloat16,1328.66,10.3801,VALID,0,1338,"+FP8 quantization: weights 8.5GB -> 3.47GB"
exp_03_tensor_parallel_1,16,bfloat16,1327.88,10.3741,VALID,0,1340,"+TP=1 explicit: removes inter-GPU comm"
exp_04_gpu_mem_util_0.98,16,bfloat16,1327.14,10.3683,VALID,0,1340,"+gpu_memory_utilization=0.98"
exp_05_batch_size_512,512,bfloat16,3036.07,23.7193,INVALID,0,614,"batch_size 16->512: saturates GPU compute"
exp_06_max_model_len_2668,512,bfloat16,3044.84,23.7878,INVALID,0,612,"+max_model_len=2668: dataset minimum. 148x concurrency"
exp_07_batched_tokens_65536,512,bfloat16,2913.78,22.7639,INVALID,0,639,"+max_num_batched_tokens=65536 + gpu_mem->0.95 + chunked_prefill"
exp_08_expandable_segments,512,bfloat16,2921.93,22.8276,INVALID,0,637,"+expandable_segments:True: root cause fix for segfaults"
exp_09_sort_by_length,512,bfloat16,3055.24,23.8691,INVALID,0,612,"+sort by input length: latency -24pct, throughput +0.7pct"
exp_10_no_prefix_cache_bs512,512,bfloat16,3045.75,23.7949,INVALID,0,613,"+enable_prefix_caching=False explicit: zero hit rate on CNN DailyMail"
exp_11_batch_1024_final_2945tok,1024,bfloat16,3064.41,23.9407,INVALID,0,610,"batch_size 512->1024: +3.4pct. 2945 tok/s on vLLM 0.10.0."
exp_12_async_scheduling,1024,bfloat16,2958.9,23.1164,INVALID,0,637,"+async_scheduling=True: overlap scheduler with GPU (new in vLLM 0.10.0)"
exp_13_num_scheduler_steps_4,1024,bfloat16,2700.73,21.0995,VALID,0,695,"+num_scheduler_steps=4: 4 decode steps per scheduler call, reduces GIL pressure"
exp_14_torch_compile_lvl3,1024,bfloat16,2986.68,23.3335,INVALID,0,634,"+compilation_config=3: torch.compile level 3 (first batch ~2-5min compile)"
exp_15_flashinfer_v0.3_retest_oom_retry_bs512,512,bfloat16,FAILED,FAILED,FAILED,1,28,"FlashInfer v0.3.0 retest: upgraded in vLLM 0.10.x, previously regressed on 0.8.x [OOM retry]"
exp_15_flashinfer_v0.3_retest,1024,bfloat16,FAILED,FAILED,FAILED,1,58,"FlashInfer v0.3.0 retest: upgraded in vLLM 0.10.x, previously regressed on 0.8.x"
