experiment,batch_size,dtype,tokens_per_sec,samples_per_sec,valid,exit_code,duration_s,description
exp_01_baseline_bf16_bs16,16,bfloat16,1042.09,8.14131,VALID,0,1687,"Baseline: BF16, TP=1, BS=16, all flags pinned explicitly"
exp_02_fp8_quantization,16,bfloat16,1327.71,10.3728,VALID,0,1339,"+FP8 quantization: weights 8.5GB -> 3.47GB"
exp_03_tensor_parallel_1,16,bfloat16,1324.83,10.3503,VALID,0,1343,"+TP=1 explicit: removes inter-GPU comm"
exp_04_gpu_mem_util_0.98,16,bfloat16,1327.35,10.3699,VALID,0,1340,"+gpu_memory_utilization=0.98"
exp_05_batch_size_512,512,bfloat16,2891.56,22.5903,INVALID,0,642,"batch_size 16->512: saturates GPU compute"
exp_06_max_model_len_2668,512,bfloat16,2896.71,22.6305,INVALID,0,641,"+max_model_len=2668: dataset minimum. 148x concurrency"
exp_07_batched_tokens_65536,512,bfloat16,2813.56,21.9809,VALID,0,660,"+max_num_batched_tokens=65536 + gpu_mem->0.95 + chunked_prefill"
exp_08_expandable_segments,512,bfloat16,2785.89,21.7648,VALID,0,667,"+expandable_segments:True: root cause fix for segfaults"
exp_09_sort_by_length,512,bfloat16,2882.09,22.5163,INVALID,0,646,"+sort by input length: latency -24pct, throughput +0.7pct"
exp_10_no_prefix_cache_bs512,512,bfloat16,2847.21,22.2438,VALID,0,653,"+enable_prefix_caching=False explicit: zero hit rate on CNN DailyMail"
exp_11_batch_1024_final_2945tok,1024,bfloat16,2846.64,22.2394,VALID,0,653,"batch_size 512->1024: +3.4pct. 2945 tok/s on vLLM 0.10.0."
exp_12_async_scheduling,1024,bfloat16,2900.12,22.6572,INVALID,0,647,"+async_scheduling=True: overlap scheduler with GPU (new in vLLM 0.10.0)"
exp_13_num_scheduler_steps_4,1024,bfloat16,2654.45,20.7379,VALID,0,705,"+num_scheduler_steps=4: 4 decode steps per scheduler call, reduces GIL pressure"
exp_14_torch_compile_lvl3,1024,bfloat16,2868.74,22.412,INVALID,0,648,"+compilation_config=3: torch.compile level 3 (first batch ~2-5min compile)"
exp_15_flashinfer_v0.3_retest,1024,bfloat16,2679.78,20.9357,VALID,0,691,"FlashInfer v0.3.0 retest: upgraded in vLLM 0.10.x, previously regressed on 0.8.x"
