experiment,batch_size,dtype,tokens_per_sec,samples_per_sec,valid,exit_code,duration_s,description
exp_01_baseline_bf16_bs16_no_quant,16,bfloat16,FAILED,FAILED,FAILED,1,5,"Baseline: BF16, TP=1, BS=16 (base command default), no quantization"
exp_02_fp8_quantization,16,bfloat16,1372.2,10.7203,VALID,0,1318,"+FP8 quantization: weights 8.5GB → 3.47GB"
exp_03_tensor_parallel_1,16,bfloat16,1370.64,10.7081,VALID,0,1316,"+TP=1 explicit: removes inter-GPU comm overhead on 8B model"
exp_04_gpu_mem_util_0.98,16,bfloat16,1373.99,10.7343,VALID,0,1312,"+gpu_memory_utilization=0.98: more VRAM for KV cache"
exp_05_batch_size_512,512,bfloat16,2616.41,20.4407,VALID,0,720,"batch_size 16→512: second biggest gain, saturates GPU compute"
exp_06_max_model_len_2668,512,bfloat16,2633.29,20.5726,VALID,0,750,"+max_model_len=2668: dataset minimum (2540+128). 148x concurrency vs 3x at default"
exp_07_batched_tokens_65536_mem_0.95,512,bfloat16,2742.64,21.4269,VALID,0,691,"+max_num_batched_tokens=65536, gpu_mem_util 0.98→0.95 (required — activation memory spike)"
exp_08_expandable_segments_segfault_fix,512,bfloat16,2769.51,21.6368,VALID,0,684,"+expandable_segments:True: root cause fix for all mid-run segfaults"
exp_09_sort_by_length_bs512,512,bfloat16,2913.79,22.764,INVALID,0,653,"+sort queries by input length: mean latency -24%, throughput +0.7%"
exp_10_no_prefix_cache_bs512,512,bfloat16,2890.91,22.5852,INVALID,0,660,"+enable_prefix_caching=False: CNN DailyMail has zero cache hit rate"
exp_11_batch_size_1024_final,1024,bfloat16,2902.62,22.6767,INVALID,0,656,"batch_size 512→1024: +3.4% throughput. BS=2048 regresses. Optimal confirmed."
